Team,Airline,Departure_Time,Arrival_Time,Price
HOU,Frontier,04:21 PM,12:30 AM +1,677
HOU,American,05:51 PM,08:46 PM,1128
HOU,United,05:00 AM,07:58 AM,1244
HOU,United,06:00 AM,08:57 AM,1244
HOU,United,07:20 AM,10:23 AM,1244
HOU,United,08:57 AM,11:55 AM,1244
HOU,United,02:23 PM,05:25 PM,1244
HOU,United,04:00 PM,07:02 PM,1244
HOU,United,06:05 PM,09:08 PM,1244
HOU,United,08:00 PM,11:00 PM,1244
HOU,United,09:29 PM,12:30 AM +1,1244
HOU,AmericanOperated by Republic Airways as American Eagle,09:40 AM,12:41 PM,1334
HOU,United,10:35 AM,01:38 PM,1372
HOU,United,12:46 PM,03:48 PM,1372
KC,UnitedOperated by SkyWest DBA United Express,07:19 AM,09:13 AM,768
KC,AmericanOperated by Piedmont Airlines as American Eagle,08:00 AM,09:45 AM,768
KC,AmericanOperated by Republic Airways as American Eagle,03:35 PM,05:17 PM,768
KC,Frontier,04:21 PM,07:38 PM +1,679
KC,UnitedOperated by Republic Airways DBA United Express,03:50 PM,05:40 PM,768
KC,UnitedOperated by SkyWest DBA United Express,06:00 PM,07:50 PM,768
KC,United,08:05 PM,09:50 PM,768
KC,American,09:15 PM,10:53 PM,768
KC,Southwest,12:15 PM,05:05 PM,866
KC,Delta,05:30 PM,09:57 PM,1016
KC,UnitedOperated by Republic Airways DBA United Express,08:45 AM,10:46 AM,1028
KC,UnitedOperated by Gojet Airlines DBA United Express,12:45 PM,02:33 PM,1081
LV,Spirit,09:54 PM,11:59 PM,412
LV,Spirit,06:15 AM,03:57 PM,437
LV,Spirit,06:15 AM,11:59 AM,477
LV,Frontier,04:21 PM,08:53 PM,537
LV,Southwest,04:00 PM,06:05 PM,1186
LV,Spirit,08:52 AM,03:57 PM,515
LV,"Spirit, Frontier",08:52 AM,08:22 PM,554
LV,Spirit,01:24 PM,10:01 PM,567
LV,American,08:36 AM,10:41 AM,1274
LV,American,02:55 PM,04:54 PM,1274
LV,American,05:45 PM,07:45 PM,1274
LV,American,08:45 PM,11:01 PM,1274
LV,United,07:25 AM,09:36 AM,1303
LV,United,08:45 AM,10:51 AM,1303
LV,United,10:52 AM,01:03 PM,1303
LV,United,01:50 PM,03:58 PM,1303
LV,United,04:20 PM,06:28 PM,1303
LV,United,07:53 PM,10:04 PM,1303
LAC,Spirit,06:15 AM,08:53 AM,528
LAC,Spirit,08:52 AM,11:36 AM,528
LAC,Spirit,08:56 PM,11:40 PM,588
LAC,Spirit,09:35 PM,07:46 AM +1,593
LAC,Frontier,06:10 AM,12:33 PM,597
LAC,Spirit,09:54 PM,09:49 AM +1,593
LAC,"Spirit, Frontier",09:54 PM,01:00 PM +1,611
LAC,"Spirit, Alaska",09:54 PM,07:39 AM +1,647
LAC,American,08:25 PM,11:17 PM,1344
LAC,United,06:15 AM,08:57 AM,1400
LAC,United,07:10 AM,09:53 AM,1400
LAC,United,08:50 AM,11:34 AM,1400
LAC,United,10:45 AM,01:30 PM,1400
LAC,United,01:00 PM,03:34 PM,1400
LAC,United,01:55 PM,04:36 PM,1400
LAC,United,03:35 PM,06:16 PM,1400
LAC,United,06:25 PM,09:09 PM,1400
LAC,United,08:10 PM,10:53 PM,1400
